dataset,modelo,accuracy,precision,recall,f1-score
df_v1,Arbol,0.8333333333333334,0.8347950538547749,0.8333333333333334,0.8336827456671881
df_v1,KNN,0.6557823129251701,0.6557715546219642,0.6557823129251701,0.6504840973746349
df_v1,SVM,0.6163265306122448,0.5898890827808786,0.6163265306122448,0.5756728929685352
df_v1,Red Neuronal,0.5986394557823129,0.5663676000114204,0.5986394557823129,0.5485469101489032
df_v2,Arbol,0.9629629629629629,0.9628930097985632,0.9629629629629629,0.9627025871175172
df_v2,KNN,0.8383303938859494,0.8326956007055999,0.8383303938859494,0.8329064190783924
df_v2,SVM,0.5464432686654909,0.4113680537735326,0.5464432686654909,0.46907864723464543
df_v2,Red Neuronal,0.5052910052910053,0.3681284081129913,0.5052910052910053,0.3965768014293516
df_v3,Arbol,0.8380809595202399,0.8367211171855116,0.8380809595202399,0.8368318399079302
df_v3,KNN,0.6611694152923538,0.6648206570504167,0.6611694152923538,0.6514570945120058
df_v3,SVM,0.6274362818590704,0.6116142748297982,0.6274362818590704,0.579839132054621
df_v3,Red Neuronal,0.5727136431784108,0.5121324619075743,0.5727136431784108,0.42356969543827705
df_v4,Arbol,0.9574049803407602,0.9573474009121054,0.9574049803407602,0.957047443708405
df_v4,KNN,0.8309305373525557,0.8248928308575479,0.8309305373525557,0.8254230495676879
df_v4,SVM,0.531127129750983,0.39616788555460103,0.531127129750983,0.45100960020103714
df_v4,Red Neuronal,0.5527522935779816,0.4197362820459901,0.5527522935779816,0.4743703453642358
df_v5,Arbol,0.8319727891156462,0.8338869067440496,0.8319727891156462,0.8325633410045684
df_v5,KNN,0.782312925170068,0.7804547177338554,0.782312925170068,0.7788178968671795
df_v5,SVM,0.6482993197278911,0.6284643568802734,0.6482993197278911,0.6122866042786591
df_v5,Red Neuronal,0.7244897959183674,0.7052587352746464,0.7244897959183674,0.7098346763809578
df_v6,Arbol,0.9656084656084656,0.9654786156062105,0.9656084656084656,0.9654343580581107
df_v6,KNN,0.8818342151675485,0.8793759007906444,0.8818342151675485,0.8793686141790152
df_v6,SVM,0.6375661375661376,0.4869636841607111,0.6375661375661376,0.5482786121528515
df_v6,Red Neuronal,0.7360376249265138,0.7298516652680797,0.7360376249265138,0.7303965293148923
df_v7,Arbol,0.8320839580209896,0.8302436471341399,0.8320839580209896,0.8305517385720571
df_v7,KNN,0.7893553223388305,0.7874580713682691,0.7893553223388305,0.7842429526167797
df_v7,SVM,0.6634182908545727,0.6466049585517745,0.6634182908545727,0.6318888810880589
df_v7,Red Neuronal,0.7331334332833583,0.7125954011471985,0.7331334332833583,0.7199696594390552
df_v8,Arbol,0.9610091743119266,0.9609518675089385,0.9610091743119266,0.9607182705065105
df_v8,KNN,0.8722149410222805,0.8699575639714993,0.8722149410222805,0.8685257687150628
df_v8,SVM,0.6133682830930537,0.46822941834375775,0.6133682830930537,0.5266986023683593
df_v8,Red Neuronal,0.7192005242463958,0.7169643671900063,0.7192005242463958,0.7165343482096393
